origin_group,year,compartment,count_proj,count_obs,error,ape
Other Western,2017,D,1.5251554001553989,1,0.5251554001553989,0.2625777000776994
Other Western,2017,H_D,13.030400155400157,13,0.030400155400156947,0.002171439671439782
Other Western,2017,H_A,0.7777777777777779,1,-0.2222222222222221,0.11111111111111105
Other Civilizations,2017,D,4.344293741780406,6,-1.6557062582195936,0.23652946545994194
Other Civilizations,2017,H_D,9.34373388724502,8,1.3437338872450209,0.14930376524944677
Other Civilizations,2017,H_A,0.5591487578920908,1,-0.44085124210790916,0.22042562105395458
Other Civilizations,2017,P_D,5.211640866873065,4,1.211640866873065,0.242328173374613
United States,2018,D,1.263598671645435,2,-0.736401328354565,0.24546710945152164
United States,2018,A,1.5999016165747593,2,-0.40009838342524073,0.1333661278084136
United States,2018,H_D,27.941579872940135,25,2.9415798729401352,0.11313768742077443
United States,2018,H_A,3.422147619565529,4,-0.5778523804344711,0.11557047608689422
United States,2018,P_D,9.762455047414162,10,-0.23754495258583752,0.02159499568962159
United States,2018,P_A,2.205694894247133,2,0.20569489424713305,0.06856496474904435
Anglosphere ex-US,2018,D,2.5191210705200375,3,-0.48087892947996247,0.12021973236999062
Anglosphere ex-US,2018,H_D,10.079431711762394,11,-0.9205682882376056,0.07671402401980047
Anglosphere ex-US,2018,H_A,2.938634842650026,4,-1.0613651573499738,0.21227303146999477
Anglosphere ex-US,2018,P_D,7.862985679256029,4,3.8629856792560293,0.7725971358512058
Anglosphere ex-US,2018,P_A,4.238521334506151,4,0.2385213345061512,0.04770426690123024
Continental Europe,2018,D,5.309266607456563,10,-4.690733392543437,0.4264303084130397
Continental Europe,2018,A,2.6203230046464627,1,1.6203230046464627,0.8101615023232314
Continental Europe,2018,H_D,22.06449215161238,19,3.064492151612381,0.15322460758061904
Continental Europe,2018,H_A,2.0,3,-1.0,0.25
Continental Europe,2018,P_D,15.153265806221425,13,2.153265806221425,0.1538047004443875
Continental Europe,2018,P_A,1.0,1,0.0,0.0
Sinic,2018,D,9.549596671546297,10,-0.450403328453703,0.04094575713215482
Sinic,2018,A,0.34599263234706473,1,-0.6540073676529352,0.3270036838264676
Sinic,2018,H_D,23.40907621315852,21,2.409076213158521,0.10950346423447822
Sinic,2018,H_A,1.9765791022291581,2,-0.023420897770841886,0.007806965923613962
Sinic,2018,P_D,6.343755380718957,7,-0.6562446192810434,0.08203057741013042
Japanese,2018,D,3.943417191706886,5,-1.056582808293114,0.176097134715519
Japanese,2018,H_D,10.34281046929506,9,1.3428104692950598,0.134281046929506
Japanese,2018,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2018,P_D,8.106891835766715,7,1.1068918357667155,0.13836147947083943
Hindu,2018,D,5.127034319662624,6,-0.8729656803373764,0.12470938290533949
Hindu,2018,A,0.0,1,-1.0,0.5
Hindu,2018,H_D,14.45227983829428,14,0.4522798382942792,0.030151989219618612
Hindu,2018,P_D,6.242908064265316,4,2.2429080642653156,0.44858161285306314
Hindu,2018,P_A,0.44444444444444453,1,-0.5555555555555555,0.27777777777777773
Islamic,2018,D,6.8533762330497545,7,-0.14662376695024548,0.018327970868780685
Islamic,2018,A,0.8783722695747347,1,-0.12162773042526531,0.060813865212632656
Islamic,2018,H_D,12.58021072783421,10,2.58021072783421,0.2345646116212918
Islamic,2018,H_A,0.8783722695747347,1,-0.12162773042526531,0.060813865212632656
Islamic,2018,P_D,0.0,1,-1.0,0.5
Other Western,2018,D,1.1846154997014533,1,0.1846154997014533,0.09230774985072665
Other Western,2018,H_D,13.852421537335584,12,1.8524215373355837,0.14249396441042952
Other Western,2018,H_A,0.6296296296296299,1,-0.37037037037037013,0.18518518518518506
Other Western,2018,P_D,0.0,1,-1.0,0.5
Other Civilizations,2018,D,3.2185412753562064,6,-2.7814587246437936,0.3973512463776848
Other Civilizations,2018,H_D,9.723712823975683,8,1.7237128239756832,0.19152364710840925
Other Civilizations,2018,H_A,0.3680920590128588,1,-0.6319079409871412,0.3159539704935706
Other Civilizations,2018,P_D,6.6267970952446635,4,2.6267970952446635,0.5253594190489327
United States,2019,D,0.8329210155073566,1,-0.16707898449264336,0.08353949224632168
United States,2019,A,1.3132911914783822,2,-0.6867088085216178,0.22890293617387258
United States,2019,H_D,27.173944815710147,25,2.173944815710147,0.08361326214269796
United States,2019,H_A,3.194544296501309,4,-0.8054557034986911,0.16109114069973823
United States,2019,P_D,11.042158228029296,10,1.0421582280292956,0.09474165709357232
United States,2019,P_A,2.722446621204162,2,0.722446621204162,0.24081554040138733
Anglosphere ex-US,2019,D,2.0447001458754372,2,0.04470014587543725,0.014900048625145748
Anglosphere ex-US,2019,H_D,9.444914963141978,11,-1.5550850368580225,0.12959041973816854
Anglosphere ex-US,2019,H_A,2.5638255255426463,3,-0.4361744744573537,0.10904361861433842
Anglosphere ex-US,2019,P_D,9.202692583290276,6,3.2026925832902755,0.4575275118986108
Anglosphere ex-US,2019,P_A,4.7298101317293755,4,0.7298101317293755,0.1459620263458751
Continental Europe,2019,D,3.874398181112462,7,-3.125601818887538,0.39070022736094223
Continental Europe,2019,A,3.1241539251423593,1,2.1241539251423593,1.0620769625711797
Continental Europe,2019,H_D,21.60005006306898,20,1.6000500630689807,0.07619286014614193
Continental Europe,2019,H_A,2.0,4,-2.0,0.4
Continental Europe,2019,P_D,16.61225636006711,13,3.6122563600671107,0.25801831143336507
