origin_group,year,from,to,count
Hindu,2001,D,D,1
Hindu,2001,D,H_D,1
Hindu,2001,D,P_D,1
Hindu,2002,D,D,2
Hindu,2002,H_D,H_A,1
Hindu,2002,P_D,P_D,1
Hindu,2003,D,D,4
Hindu,2003,H_A,H_A,1
Hindu,2003,P_D,P_D,1
Hindu,2004,D,D,4
Hindu,2004,H_A,H_A,1
Hindu,2004,H_D,H_D,1
Hindu,2004,P_D,P_D,1
Hindu,2005,D,D,6
Hindu,2005,H_A,H_A,1
Hindu,2005,H_D,H_D,1
Hindu,2005,P_D,P_D,1
Hindu,2006,D,D,5
Hindu,2006,D,H_D,1
Hindu,2006,H_A,H_A,1
Hindu,2006,H_D,H_D,1
Hindu,2006,P_D,P_D,1
Hindu,2007,D,D,2
Hindu,2007,D,H_D,3
Hindu,2007,D,P_D,1
Hindu,2007,H_A,H_A,1
Hindu,2007,H_D,H_D,2
Hindu,2007,P_D,P_D,1
Hindu,2008,D,D,5
Hindu,2008,H_A,H_A,1
Hindu,2008,H_D,H_D,5
Hindu,2008,P_D,P_D,2
Hindu,2009,D,D,6
Hindu,2009,D,H_D,1
Hindu,2009,H_A,H_A,1
Hindu,2009,H_D,H_D,5
Hindu,2009,P_D,P_D,2
Hindu,2010,D,D,6
Hindu,2010,D,H_D,1
Hindu,2010,H_A,H_A,1
Hindu,2010,H_D,H_D,6
Hindu,2010,P_D,P_D,2
Hindu,2011,D,D,6
Hindu,2011,D,H_D,3
Hindu,2011,H_A,H_A,1
Hindu,2011,H_D,H_D,8
Hindu,2011,P_D,P_D,2
Hindu,2012,D,D,6
Hindu,2012,D,H_D,2
Hindu,2012,H_A,H_A,1
Hindu,2012,H_D,H_D,10
Hindu,2012,H_D,P_D,1
Hindu,2012,P_D,P_D,2
Hindu,2013,D,D,7
Hindu,2013,H_A,H_A,1
Hindu,2013,H_D,H_D,12
Hindu,2013,P_D,P_D,3
Hindu,2014,D,D,7
Hindu,2014,D,H_D,1
Hindu,2014,H_A,H_A,1
Hindu,2014,H_D,H_D,13
Hindu,2014,P_D,P_D,3
Hindu,2015,D,D,7
Hindu,2015,H_A,P_A,1
Hindu,2015,H_D,H_D,14
