origin_group,year,compartment,count
Anglosphere ex-US,2021,H_D,8.099256227680026
Anglosphere ex-US,2021,H_A,2.0203611853969328
Anglosphere ex-US,2021,P_D,11.638977725940268
Anglosphere ex-US,2021,P_A,5.53677185232714
Continental Europe,2021,D,2.071625060202149
Continental Europe,2021,A,3.769856894428499
Continental Europe,2021,H_D,20.268046267933773
Continental Europe,2021,H_A,2.0
Continental Europe,2021,P_D,19.209713771981463
Continental Europe,2021,P_A,1.0
Sinic,2021,D,6.7075543928666415
Sinic,2021,A,0.16293495056265256
Sinic,2021,H_D,21.4924152201531
Sinic,2021,H_A,1.6255395391477798
Sinic,2021,P_D,12.574055897269826
Sinic,2021,P_A,0.0
Japanese,2021,D,2.8425752541783935
Japanese,2021,A,0.11675605999032414
Japanese,2021,H_D,9.12681547047321
Japanese,2021,H_A,0.8339156140823033
Japanese,2021,P_D,10.671048979636495
Japanese,2021,P_A,0.0
Hindu,2021,D,2.700234975885385
Hindu,2021,A,0.0
Hindu,2021,H_D,13.261252032799709
Hindu,2021,H_A,0.0
Hindu,2021,P_D,10.573492415183212
Hindu,2021,P_A,0.13168724279835398
Islamic,2021,D,6.14250527280328
Islamic,2021,A,0.9180749308486821
Islamic,2021,H_D,15.256122627985384
Islamic,2021,H_A,0.9180749308486821
Islamic,2021,P_D,0.0
Islamic,2021,P_A,0.0
Other Western,2021,D,0.6441535740446875
Other Western,2021,A,0.0
Other Western,2021,H_D,15.60138826408974
Other Western,2021,H_A,0.4211248285322361
Other Western,2021,P_D,0.0
Other Western,2021,P_A,0.0
Other Civilizations,2021,D,1.603600381302553
Other Civilizations,2021,A,0.0
Other Civilizations,2021,H_D,8.696134110972507
Other Civilizations,2021,H_A,0.24970221097497058
Other Civilizations,2021,P_D,10.945599949538408
Other Civilizations,2021,P_A,0.0
United States,2022,D,0.22591319700226736
United States,2022,A,0.6677579906394299
United States,2022,H_D,24.61694382220057
United States,2022,H_A,2.5378957088560514
United States,2022,P_D,14.254985108311692
United States,2022,P_A,4.178066368490283
Anglosphere ex-US,2022,D,1.2091756634630646
