origin_group,year,from,to,count,stock,prob
Anglosphere ex-US,2021,P_D,P_D,6,6,0.6842105263157895
Anglosphere ex-US,2022,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2022,H_A,H_A,3,3,0.5384615384615384
Anglosphere ex-US,2022,H_D,H_D,9,10,0.7037037037037037
Anglosphere ex-US,2022,H_D,P_D,1,10,0.1111111111111111
Anglosphere ex-US,2022,P_A,P_A,5,5,0.6470588235294118
Anglosphere ex-US,2022,P_D,P_D,6,6,0.6842105263157895
Continental Europe,2000,D,D,2,2,0.45454545454545453
Continental Europe,2000,H_D,H_D,1,1,0.3333333333333333
Continental Europe,2001,D,D,3,4,0.4666666666666667
Continental Europe,2001,D,H_D,1,4,0.2
Continental Europe,2001,H_D,H_D,3,3,0.5384615384615384
Continental Europe,2002,D,D,8,10,0.6296296296296297
Continental Europe,2002,D,H_D,2,10,0.18518518518518517
Continental Europe,2002,H_D,H_D,4,4,0.6
Continental Europe,2003,A,D,1,1,0.3333333333333333
Continental Europe,2003,D,D,9,10,0.7037037037037037
Continental Europe,2003,D,H_D,1,10,0.1111111111111111
Continental Europe,2003,H_D,H_D,7,8,0.6521739130434783
Continental Europe,2003,H_D,P_D,1,8,0.13043478260869565
Continental Europe,2004,D,D,11,11,0.7931034482758621
Continental Europe,2004,H_D,H_A,1,9,0.12
Continental Europe,2004,H_D,H_D,8,9,0.68
Continental Europe,2004,P_D,P_D,1,1,0.3333333333333333
Continental Europe,2005,D,D,12,14,0.7142857142857143
Continental Europe,2005,D,H_D,2,14,0.14285714285714285
Continental Europe,2005,H_A,H_A,1,1,0.3333333333333333
Continental Europe,2005,H_D,H_D,7,8,0.6521739130434783
Continental Europe,2005,H_D,P_D,1,8,0.13043478260869565
Continental Europe,2005,P_D,P_D,1,1,0.3333333333333333
Continental Europe,2006,D,D,12,17,0.6097560975609756
Continental Europe,2006,D,H_D,5,17,0.2682926829268293
Continental Europe,2006,H_D,H_D,9,9,0.76
Continental Europe,2006,P_D,P_D,2,2,0.45454545454545453
Continental Europe,2007,D,A,1,13,0.09090909090909091
