country,iso3,n,y_start,y_end,mu_const,mu_H0,mu_H1,M0_level_rmse,M1_level_rmse,M2_level_rmse,M0_change_rmse,M1_change_rmse,M2_change_rmse
Ireland,IRL,24,2000,2023,3.0,0.0,0.30000000000000004,0.34184850891490315,0.23027519191790827,0.37404561852453494,0.27869611147798773,0.23099542436710455,0.2535150792974934
Israel,ISR,24,2000,2023,19.0,18.0,0.30000000000000004,0.5506481910978999,0.16419715996921605,0.3587270816438089,0.30416029235598274,0.2148916064316745,0.23597172117403556
Italy,ITA,24,2000,2023,6.0,0.0,0.30000000000000004,0.5432947142439055,0.31949963135128095,0.40119227905610877,0.5207895043452503,0.46584173193585743,0.5070594875631201
Japan,JPN,24,2000,2023,1.0,0.0,0.05000000000000002,0.2990676990401555,0.17953000200239114,0.2691656308772639,0.2780074465778918,0.189594914985371,0.2186238427879845
Korea,KOR,24,2000,2023,19.0,0.0,0.30000000000000004,0.44644088137290566,0.24393478739656083,0.4337807597551203,0.3883896000233498,0.2888589473171936,0.36515248041240533
Latvia,LVA,24,2000,2023,19.0,0.0,0.30000000000000004,0.6959005806657577,0.5525566054205375,0.678920141956996,0.7101266326410679,0.6969168303233094,0.6837870141038038
Lithuania,LTU,24,2000,2023,0.0,0.0,0.15,0.8766613473504593,0.6018382688737067,0.5774053270013567,0.7582177513662557,0.6642710242158443,0.6619971788262077
Luxembourg,LUX,24,2000,2023,19.0,0.0,0.15,0.37343179236332064,0.30539885669639827,0.3111505984670969,0.45519521342922303,0.41666570383931584,0.4196118112309945
Mexico,MEX,24,2000,2023,0.0,12.0,-0.1,1.1271794769745267,0.7430972271793355,0.7101622968899948,1.1439284809981345,0.8843742703077248,0.8768678624860455
Netherlands,NLD,24,2000,2023,3.0,0.0,0.1,0.4678648826525245,0.20592503450524952,0.4618928686619771,0.39710321318523367,0.28024819589615324,0.2934904818480706
New Zealand,NZL,24,2000,2023,19.0,0.0,0.30000000000000004,0.37878708879905315,0.11178257219888142,0.3512686832776125,0.22675448567026124,0.13588943827642905,0.1754099060484351
Norway,NOR,24,2000,2023,1.0,0.0,0.30000000000000004,0.2507372320254169,0.13829408099145293,0.2675056125954187,0.2178689092817637,0.14478263079899767,0.17126823519102394
Poland,POL,24,2000,2023,1.0,6.0,-0.1,0.6624306078173448,0.5704313250009214,0.7080062971219505,0.5872629801488757,0.6857362463970309,0.6149488751603135
Portugal,PRT,24,2000,2023,19.0,0.0,0.30000000000000004,0.7156951336884497,0.33484321298531766,0.30438711133732194,0.4685625537073885,0.35650797147843927,0.36547161851808185
Slovakia,SVK,24,2000,2023,1.0,0.0,-0.1,0.6532170851132197,0.5807689806720888,0.6107701922519841,0.7769055122089559,0.7788527913588599,0.7620250312690796
Slovenia,SVN,24,2000,2023,3.0,0.0,0.30000000000000004,0.8264216587503241,0.31087278667107787,0.6156728511333069,0.37868839132422416,0.38608396809008083,0.40520917001797613
Spain,ESP,24,2000,2023,4.0,0.0,0.15,0.6255556575419283,0.37286171565826787,0.47945429105567616,0.5427104568678812,0.5252950039310529,0.5147412498922184
Sweden,SWE,24,2000,2023,2.0,0.0,-0.1,0.1749206772193146,0.14781944115367254,0.20375699707516262,0.24986397672774613,0.25383221444603316,0.24515895629776538
Switzerland,CHE,24,2000,2023,4.0,4.0,-0.1,0.34829961157590195,0.23017288776303668,0.3452855660959139,0.33938118040533327,0.3547638476303725,0.3506878780691175
Turkey,TUR,24,2000,2023,4.0,0.0,0.05000000000000002,0.498104013122057,0.4424037730868584,0.5025922046623603,0.4859745435047246,0.5424537458989872,0.5170700033766591
United Kingdom,GBR,24,2000,2023,3.0,0.0,0.30000000000000004,0.5777647000782539,0.29859031270296643,0.5002740657577701,0.3708103063651996,0.36701431497824716,0.3757401329367453
United States,USA,24,2000,2023,3.0,0.0,0.30000000000000004,0.7015869538008391,0.5466829823224396,0.6905703916608497,0.6317203565346206,0.5994761436283391,0.5826921774569287
