cancer,age_group,incidence_per_100k,sensitivity,specificity,true_positives,false_positives,total_positives,ppv,fp_to_tp_ratio
Colorectal,20-24 yrs.,1.171,0.7,0.99,0.82,999.988,1000.808,0.001,1220.142
Colorectal,25-29 yrs.,2.285,0.7,0.99,1.599,999.977,1001.576,0.002,625.275
Colorectal,30-34 yrs.,6.708,0.7,0.99,4.696,999.933,1004.629,0.005,212.936
Colorectal,35-39 yrs.,14.659,0.7,0.99,10.261,999.853,1010.115,0.01,97.441
Colorectal,40-44 yrs.,25.1,0.7,0.99,17.57,999.749,1017.319,0.017,56.901
Colorectal,45-49 yrs.,41.459,0.7,0.99,29.021,999.585,1028.607,0.028,34.443
Colorectal,50-54 yrs.,67.147,0.7,0.99,47.003,999.329,1046.331,0.045,21.261
Colorectal,55-59 yrs.,107.525,0.7,0.99,75.268,998.925,1074.192,0.07,13.272
Colorectal,60-64 yrs.,159.723,0.7,0.99,111.806,998.403,1110.209,0.101,8.93
Colorectal,65-69 yrs.,225.927,0.7,0.99,158.149,997.741,1155.89,0.137,6.309
Colorectal,70-74 yrs.,310.627,0.7,0.99,217.439,996.894,1214.333,0.179,4.585
Colorectal,75-79 yrs.,348.174,0.7,0.99,243.722,996.518,1240.24,0.197,4.089
Colorectal,80-84 yrs.,383.511,0.7,0.99,268.458,996.165,1264.623,0.212,3.711
Colorectal,85-89 yrs.,399.698,0.7,0.99,279.789,996.003,1275.792,0.219,3.56
Colorectal,90-94 yrs.,393.21,0.7,0.99,275.247,996.068,1271.315,0.217,3.619
Colorectal,95-99 yrs.,402.671,0.7,0.99,281.87,995.973,1277.843,0.221,3.533
Colorectal,100+ yrs.,300.0,0.7,0.99,210.0,997.0,1207.0,0.174,4.748
Lung,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Lung,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,0.0,69128.557
Lung,10-14 yrs.,0.038,0.7,0.99,0.027,1000.0,1000.026,0.0,37464.271
Lung,15-19 yrs.,0.109,0.7,0.99,0.076,999.999,1000.075,0.0,13080.938
Lung,20-24 yrs.,0.401,0.7,0.99,0.281,999.996,1000.277,0.0,3562.843
Lung,25-29 yrs.,0.633,0.7,0.99,0.443,999.994,1000.437,0.0,2257.129
Lung,30-34 yrs.,1.661,0.7,0.99,1.163,999.983,1001.146,0.001,859.824
Lung,35-39 yrs.,3.363,0.7,0.99,2.354,999.966,1002.321,0.002,424.76
Lung,40-44 yrs.,6.748,0.7,0.99,4.724,999.933,1004.656,0.005,211.681
Lung,45-49 yrs.,14.218,0.7,0.99,9.953,999.858,1009.811,0.01,100.46
Lung,50-54 yrs.,27.528,0.7,0.99,19.27,999.725,1018.994,0.019,51.881
Lung,55-59 yrs.,51.625,0.7,0.99,36.137,999.484,1035.621,0.035,27.658
Lung,60-64 yrs.,100.946,0.7,0.99,70.662,998.991,1069.653,0.066,14.138
Lung,65-69 yrs.,178.846,0.7,0.99,125.192,998.212,1123.404,0.111,7.973
Lung,70-74 yrs.,284.881,0.7,0.99,199.417,997.151,1196.568,0.167,5.0
Lung,75-79 yrs.,360.656,0.7,0.99,252.459,996.393,1248.852,0.202,3.947
Lung,80-84 yrs.,351.416,0.7,0.99,245.992,996.486,1242.477,0.198,4.051
Lung,85-89 yrs.,328.776,0.7,0.99,230.143,996.712,1226.855,0.188,4.331
Lung,90-94 yrs.,302.345,0.7,0.99,211.641,996.977,1208.618,0.175,4.711
Lung,95-99 yrs.,308.013,0.7,0.99,215.609,996.92,1212.529,0.178,4.624
Lung,100+ yrs.,248.864,0.7,0.99,174.205,997.511,1171.716,0.149,5.726
Breast,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Breast,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,0.0,69128.557
Breast,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,0.0,74928.557
Breast,15-19 yrs.,0.036,0.7,0.99,0.025,1000.0,1000.025,0.0,39242.843
Breast,20-24 yrs.,0.609,0.7,0.99,0.427,999.994,1000.421,0.0,2343.971
Breast,25-29 yrs.,3.828,0.7,0.99,2.68,999.962,1002.642,0.003,373.142
Breast,30-34 yrs.,13.339,0.7,0.99,9.337,999.867,1009.204,0.009,107.087
Breast,35-39 yrs.,34.965,0.7,0.99,24.476,999.65,1024.126,0.024,40.843
Breast,40-44 yrs.,76.317,0.7,0.99,53.422,999.237,1052.659,0.051,18.705
Breast,45-49 yrs.,122.106,0.7,0.99,85.474,998.779,1084.253,0.079,11.685
Breast,50-54 yrs.,117.095,0.7,0.99,81.966,998.829,1080.795,0.076,12.186
Breast,55-59 yrs.,118.71,0.7,0.99,83.097,998.813,1081.91,0.077,12.02
Breast,60-64 yrs.,132.991,0.7,0.99,93.094,998.67,1091.764,0.085,10.728
Breast,65-69 yrs.,140.316,0.7,0.99,98.221,998.597,1096.818,0.09,10.167
Breast,70-74 yrs.,148.202,0.7,0.99,103.742,998.518,1102.26,0.094,9.625
Breast,75-79 yrs.,147.251,0.7,0.99,103.076,998.527,1101.603,0.094,9.687
Breast,80-84 yrs.,142.969,0.7,0.99,100.078,998.57,1098.648,0.091,9.978
Breast,85-89 yrs.,135.763,0.7,0.99,95.034,998.642,1093.676,0.087,10.508
Breast,90-94 yrs.,124.084,0.7,0.99,86.859,998.759,1085.618,0.08,11.499
Breast,95-99 yrs.,134.391,0.7,0.99,94.073,998.656,1092.73,0.086,10.616
Breast,100+ yrs.,126.136,0.7,0.99,88.295,998.739,1087.034,0.081,11.311
Prostate,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Prostate,5-9 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Prostate,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,0.0,74928.557
Prostate,15-19 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Prostate,20-24 yrs.,0.032,0.7,0.99,0.022,1000.0,1000.022,0.0,44535.7
Prostate,25-29 yrs.,0.031,0.7,0.99,0.022,1000.0,1000.021,0.0,46271.414
Prostate,30-34 yrs.,0.016,0.7,0.99,0.011,1000.0,1000.011,0.0,91142.843
Prostate,35-39 yrs.,0.085,0.7,0.99,0.06,999.999,1000.059,0.0,16778.557
Prostate,40-44 yrs.,0.386,0.7,0.99,0.27,999.996,1000.267,0.0,3697.605
Prostate,45-49 yrs.,2.194,0.7,0.99,1.536,999.978,1001.514,0.002,651.057
Prostate,50-54 yrs.,11.169,0.7,0.99,7.818,999.888,1007.706,0.008,127.895
Prostate,55-59 yrs.,37.601,0.7,0.99,26.321,999.624,1025.945,0.026,37.978
Prostate,60-64 yrs.,96.151,0.7,0.99,67.306,999.038,1066.344,0.063,14.843
Prostate,65-69 yrs.,179.883,0.7,0.99,125.918,998.201,1124.119,0.112,7.927
Prostate,70-74 yrs.,272.712,0.7,0.99,190.898,997.273,1188.171,0.161,5.224
Prostate,75-79 yrs.,316.91,0.7,0.99,221.837,996.831,1218.668,0.182,4.494
Prostate,80-84 yrs.,286.819,0.7,0.99,200.774,997.132,1197.905,0.168,4.966
Prostate,85-89 yrs.,220.684,0.7,0.99,154.479,997.793,1152.272,0.134,6.459
Prostate,90-94 yrs.,151.392,0.7,0.99,105.975,998.486,1104.461,0.096,9.422
Prostate,95-99 yrs.,115.359,0.7,0.99,80.751,998.846,1079.598,0.075,12.369
Prostate,100+ yrs.,45.455,0.7,0.99,31.818,999.545,1031.364,0.031,31.414
Liver,0-4 yrs.,0.93,0.7,0.99,0.651,999.991,1000.642,0.001,1536.452
Liver,5-9 yrs.,0.124,0.7,0.99,0.087,999.999,1000.086,0.0,11521.414
Liver,10-14 yrs.,0.114,0.7,0.99,0.08,999.999,1000.079,0.0,12488.081
Liver,15-19 yrs.,0.127,0.7,0.99,0.089,999.999,1000.088,0.0,11212.231
Liver,20-24 yrs.,0.289,0.7,0.99,0.202,999.997,1000.199,0.0,4948.398
Liver,25-29 yrs.,0.232,0.7,0.99,0.162,999.998,1000.16,0.0,6169.51
Liver,30-34 yrs.,0.596,0.7,0.99,0.417,999.994,1000.411,0.0,2398.482
Liver,35-39 yrs.,0.795,0.7,0.99,0.556,999.992,1000.548,0.001,1797.69
Liver,40-44 yrs.,1.687,0.7,0.99,1.181,999.983,1001.164,0.001,846.769
Liver,45-49 yrs.,3.236,0.7,0.99,2.265,999.968,1002.233,0.002,441.39
Liver,50-54 yrs.,7.201,0.7,0.99,5.04,999.928,1004.968,0.005,198.382
Liver,55-59 yrs.,13.238,0.7,0.99,9.267,999.868,1009.134,0.009,107.898
Liver,60-64 yrs.,26.319,0.7,0.99,18.423,999.737,1018.16,0.018,54.266
Liver,65-69 yrs.,44.026,0.7,0.99,30.818,999.56,1030.378,0.03,32.434
Liver,70-74 yrs.,63.718,0.7,0.99,44.602,999.363,1043.965,0.043,22.406
Liver,75-79 yrs.,80.147,0.7,0.99,56.103,999.199,1055.302,0.053,17.81
Liver,80-84 yrs.,98.83,0.7,0.99,69.181,999.012,1068.192,0.065,14.441
Liver,85-89 yrs.,117.14,0.7,0.99,81.998,998.829,1080.827,0.076,12.181
Liver,90-94 yrs.,113.337,0.7,0.99,79.336,998.867,1078.202,0.074,12.59
Liver,95-99 yrs.,94.992,0.7,0.99,66.494,999.05,1065.544,0.062,15.025
Liver,100+ yrs.,94.318,0.7,0.99,66.023,999.057,1065.08,0.062,15.132
Pancreatic,0-4 yrs.,0.024,0.7,0.99,0.017,1000.0,1000.017,0.0,58385.7
Pancreatic,5-9 yrs.,0.083,0.7,0.99,0.058,999.999,1000.057,0.0,17282.129
Pancreatic,10-14 yrs.,0.381,0.7,0.99,0.267,999.996,1000.263,0.0,3746.414
Pancreatic,15-19 yrs.,0.346,0.7,0.99,0.242,999.997,1000.239,0.0,4130.813
Pancreatic,20-24 yrs.,0.417,0.7,0.99,0.292,999.996,1000.288,0.0,3425.81
Pancreatic,25-29 yrs.,0.556,0.7,0.99,0.389,999.994,1000.383,0.0,2570.621
Pancreatic,30-34 yrs.,1.082,0.7,0.99,0.757,999.989,1000.746,0.001,1320.897
Pancreatic,35-39 yrs.,1.859,0.7,0.99,1.301,999.981,1001.283,0.001,768.47
Pancreatic,40-44 yrs.,3.335,0.7,0.99,2.335,999.967,1002.301,0.002,428.281
Pancreatic,45-49 yrs.,6.67,0.7,0.99,4.669,999.933,1004.603,0.005,214.154
Pancreatic,50-54 yrs.,13.355,0.7,0.99,9.348,999.866,1009.215,0.009,106.957
Pancreatic,55-59 yrs.,24.786,0.7,0.99,17.35,999.752,1017.102,0.017,57.623
Pancreatic,60-64 yrs.,38.905,0.7,0.99,27.234,999.611,1026.845,0.027,36.705
Pancreatic,65-69 yrs.,62.766,0.7,0.99,43.936,999.372,1043.309,0.042,22.746
Pancreatic,70-74 yrs.,90.927,0.7,0.99,63.649,999.091,1062.739,0.06,15.697
Pancreatic,75-79 yrs.,117.405,0.7,0.99,82.183,998.826,1081.009,0.076,12.154
Pancreatic,80-84 yrs.,140.288,0.7,0.99,98.202,998.597,1096.799,0.09,10.169
Pancreatic,85-89 yrs.,155.768,0.7,0.99,109.037,998.442,1107.48,0.098,9.157
Pancreatic,90-94 yrs.,156.717,0.7,0.99,109.702,998.433,1108.135,0.099,9.101
Pancreatic,95-99 yrs.,154.925,0.7,0.99,108.447,998.451,1106.898,0.098,9.207
Pancreatic,100+ yrs.,120.455,0.7,0.99,84.318,998.795,1083.114,0.078,11.846
Ovarian,0-4 yrs.,0.122,0.7,0.99,0.086,999.999,1000.084,0.0,11677.129
Ovarian,5-9 yrs.,0.393,0.7,0.99,0.275,999.996,1000.271,0.0,3638.332
Ovarian,10-14 yrs.,0.763,0.7,0.99,0.534,999.992,1000.526,0.001,1873.2
Ovarian,15-19 yrs.,1.529,0.7,0.99,1.07,999.985,1001.055,0.001,934.339
Ovarian,20-24 yrs.,2.919,0.7,0.99,2.043,999.971,1002.014,0.002,489.389
Ovarian,25-29 yrs.,3.52,0.7,0.99,2.464,999.965,1002.429,0.002,405.875
Ovarian,30-34 yrs.,4.608,0.7,0.99,3.226,999.954,1003.18,0.003,309.995
Ovarian,35-39 yrs.,6.343,0.7,0.99,4.44,999.937,1004.377,0.004,225.201
Ovarian,40-44 yrs.,9.324,0.7,0.99,6.527,999.907,1006.433,0.006,153.202
Ovarian,45-49 yrs.,13.955,0.7,0.99,9.769,999.86,1009.629,0.01,102.355
Ovarian,50-54 yrs.,16.743,0.7,0.99,11.72,999.833,1011.552,0.012,85.311
Ovarian,55-59 yrs.,17.575,0.7,0.99,12.302,999.824,1012.126,0.012,81.272
Ovarian,60-64 yrs.,16.915,0.7,0.99,11.841,999.831,1011.672,0.012,84.44
Ovarian,65-69 yrs.,15.794,0.7,0.99,11.056,999.842,1010.898,0.011,90.437
Ovarian,70-74 yrs.,14.994,0.7,0.99,10.496,999.85,1010.346,0.01,95.263
Ovarian,75-79 yrs.,14.435,0.7,0.99,10.104,999.856,1009.96,0.01,98.953
Ovarian,80-84 yrs.,13.265,0.7,0.99,9.286,999.867,1009.153,0.009,107.677
Ovarian,85-89 yrs.,14.124,0.7,0.99,9.887,999.859,1009.746,0.01,101.13
Ovarian,90-94 yrs.,14.021,0.7,0.99,9.814,999.86,1009.674,0.01,101.877
Ovarian,95-99 yrs.,13.856,0.7,0.99,9.699,999.861,1009.561,0.01,103.084
Ovarian,100+ yrs.,19.318,0.7,0.99,13.523,999.807,1013.33,0.013,73.935
