cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,fp_specialist_visits,tp_specialist_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,primary_care_visits,sweep_specificity,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Lung,99.702,0.7,0.98,0.7,99.702,69.791,1998.006,2067.797,0.033751,1447.458,48.854,1398.604,3041.477,4195.813,293.123,7528.597,28.628355,107.873227,1302.712,217.119,72.373,1447.458,1447.458,0.98,22.94949,8.108838,2.80188,12.079268,4488.935,62.491307,62.491307
Breast,83.168,0.7,0.98,0.7,83.168,58.217,1998.337,2056.554,0.028308,1439.588,40.752,1398.836,2261.262,3497.089,203.761,5788.253,34.325381,99.424677,143.959,431.876,71.979,1439.588,1439.588,0.98,2.536079,16.129497,2.786645,12.013591,3700.85,51.520227,51.520227
Prostate,82.101,0.7,0.98,0.7,82.101,57.47,1998.358,2055.828,0.027955,1439.08,40.229,1398.851,2218.964,3497.126,160.917,5888.618,34.771912,102.463369,143.908,575.632,71.954,1439.08,1439.08,0.98,2.535184,21.498408,2.785662,12.009352,3658.044,50.92431,50.92431
Liver,26.229,0.7,0.98,0.7,26.229,18.36,1999.475,2017.836,0.009099,1412.485,12.852,1399.633,2150.858,3499.082,64.261,6105.816,108.90219,332.555592,564.994,423.745,141.248,1412.485,1412.485,0.98,9.95333,15.82583,5.468363,11.787413,3563.343,49.605962,49.605962
Pancreatic,38.195,0.7,0.98,0.7,38.195,26.737,1999.236,2025.973,0.013197,1418.181,18.716,1399.465,2892.509,4198.396,112.294,7288.869,74.775322,272.617899,850.909,425.454,283.636,1418.181,1418.181,0.98,14.9902,15.889648,10.980829,11.834946,4310.689,60.009912,60.009912
Ovarian,10.276,0.7,0.98,0.7,10.276,7.193,1999.794,2006.988,0.003584,1404.891,5.035,1399.856,2824.888,4199.568,30.211,6969.317,278.018518,968.899166,561.957,702.446,70.245,1404.891,1404.891,0.98,9.899819,26.23458,2.719482,11.724042,4229.779,58.883544,58.883544
Gastric,84.32,0.7,0.99,0.7,84.32,59.024,999.157,1058.181,0.055779,740.727,41.317,699.41,1214.382,1748.524,206.584,3658.78,16.927937,61.987868,222.218,74.073,666.654,740.727,740.727,0.99,3.914748,2.766428,25.809168,6.181482,1955.109,27.217435,27.217435
Colorectal,123.844,0.7,0.99,0.7,123.844,86.691,998.762,1085.452,0.079866,759.817,60.683,699.133,1291.433,1747.833,303.417,3798.828,11.520983,43.820502,227.945,37.991,721.826,759.817,759.817,0.99,4.015638,1.418862,27.945114,6.34079,2051.25,28.555834,28.555834
Lung,99.702,0.7,0.99,0.7,99.702,69.791,999.003,1068.794,0.065299,748.156,48.854,699.302,1642.873,2097.906,293.123,3962.157,14.314177,56.771613,673.34,112.223,37.408,748.156,748.156,0.99,11.862034,4.191261,1.448224,6.24348,2391.029,33.285962,33.285962
Breast,83.168,0.7,0.99,0.7,83.168,58.217,999.168,1057.386,0.055058,740.17,40.752,699.418,1212.136,1748.545,203.761,3025.552,17.16269,51.969839,74.017,222.051,37.009,740.17,740.17,0.99,1.303935,8.293048,1.432765,6.176837,1952.306,27.178412,27.178412
Prostate,82.101,0.7,0.99,0.7,82.101,57.47,999.179,1056.649,0.054389,739.655,40.229,699.425,1169.826,1748.563,160.917,3055.945,17.385956,53.174185,73.965,295.862,36.983,739.655,739.655,0.99,1.303027,11.049697,1.431768,6.172536,1909.481,26.582235,26.582235
Liver,26.229,0.7,0.99,0.7,26.229,18.36,999.738,1018.098,0.018034,712.669,12.852,699.816,1101.133,1749.541,64.261,3096.605,54.451095,168.657796,285.067,213.801,71.267,712.669,712.669,0.99,5.021948,7.984915,2.75906,5.947333,1813.802,25.250276,25.250276
Pancreatic,38.195,0.7,0.99,0.7,38.195,26.737,999.618,1026.355,0.02605,718.448,18.716,699.733,1493.043,2099.198,112.294,3720.233,37.387661,139.143949,431.069,215.534,143.69,718.448,718.448,0.99,7.594012,8.049671,5.562871,5.995565,2211.492,30.786586,30.786586
Ovarian,10.276,0.7,0.99,0.7,10.276,7.193,999.897,1007.09,0.007142,704.963,5.035,699.928,1425.032,2099.784,30.211,3504.673,139.009259,487.232083,281.985,352.482,35.248,704.963,704.963,0.99,4.96765,13.164302,1.364614,5.88303,2129.995,29.652057,29.652057
Gastric,84.32,0.7,0.995,0.7,84.32,59.024,499.578,558.603,0.105664,391.022,41.317,349.705,689.825,874.262,206.584,1980.197,8.463968,33.548934,117.307,39.102,351.92,391.022,391.022,0.995,2.066554,1.460368,13.624387,3.263139,1080.847,15.046668,15.046668
Colorectal,123.844,0.7,0.995,0.7,123.844,86.691,499.381,586.071,0.147918,410.25,60.683,349.567,767.084,873.916,303.417,2120.909,5.760491,24.465251,123.075,20.513,389.738,410.25,410.25,0.995,2.168175,0.76609,15.088488,3.423602,1177.334,16.389882,16.389882
Lung,99.702,0.7,0.995,0.7,99.702,69.791,499.501,569.293,0.122593,398.505,48.854,349.651,943.571,1048.953,293.123,2178.936,7.157089,31.220807,358.654,59.776,19.925,398.505,398.505,0.995,6.318306,2.232473,0.771396,3.325587,1342.076,18.68329,18.68329
Breast,83.168,0.7,0.995,0.7,83.168,58.217,499.584,557.802,0.104369,390.461,40.752,349.709,687.572,874.272,203.761,1644.202,8.581345,28.242419,39.046,117.138,19.523,390.461,390.461,0.995,0.687864,4.374823,0.755825,3.258461,1078.033,15.007504,15.007504
Prostate,82.101,0.7,0.995,0.7,82.101,57.47,499.589,557.06,0.103167,389.942,40.229,349.713,645.257,874.282,160.917,1639.609,8.692978,28.529592,38.994,155.977,19.497,389.942,389.942,0.995,0.686949,5.825341,0.75482,3.254128,1035.199,14.411197,14.411197
Liver,26.229,0.7,0.995,0.7,26.229,18.36,499.869,518.229,0.035429,362.76,12.852,349.908,576.271,874.77,64.261,1592.0,27.225547,86.708898,145.104,108.828,36.276,362.76,362.76,0.995,2.556256,4.064457,1.404408,3.027293,939.031,13.072433,13.072433
Pancreatic,38.195,0.7,0.995,0.7,38.195,26.737,499.809,526.546,0.050777,368.582,18.716,349.866,793.311,1049.599,112.294,1935.915,18.69383,72.406975,221.149,110.575,73.716,368.582,368.582,0.995,3.895918,4.129683,2.853892,3.075875,1161.893,16.174923,16.174923
Ovarian,10.276,0.7,0.995,0.7,10.276,7.193,499.949,507.142,0.014183,354.999,5.035,349.964,725.104,1049.892,30.211,1772.351,69.50463,246.398542,142.0,177.5,17.75,354.999,354.999,0.995,2.501565,6.629163,0.687181,2.962525,1080.103,15.036313,15.036313
Gastric,84.32,0.7,0.999,0.7,84.32,59.024,99.916,158.94,0.371362,111.258,41.317,69.941,270.179,174.852,206.584,637.33,1.692794,10.797787,33.377,11.126,100.132,111.258,111.258,0.999,0.587999,0.41552,3.876562,0.928465,381.437,5.310054,5.310054
Colorectal,123.844,0.7,0.999,0.7,123.844,86.691,99.876,186.567,0.464663,130.597,60.683,69.913,347.604,174.783,303.417,778.573,1.152098,8.98105,39.179,6.53,124.067,130.597,130.597,0.999,0.690205,0.243873,4.803188,1.089851,478.201,6.657119,6.657119
Lung,99.702,0.7,0.999,0.7,99.702,69.791,99.9,169.691,0.411283,118.784,48.854,69.93,384.129,209.791,293.123,752.36,1.431418,10.780161,106.906,17.818,5.939,118.784,118.784,0.999,1.883324,0.665443,0.229933,0.991272,502.913,7.001152,7.001152
Breast,83.168,0.7,0.999,0.7,83.168,58.217,99.917,158.134,0.368152,110.694,40.752,69.942,267.922,174.854,203.761,539.122,1.716269,9.260484,11.069,33.208,5.535,110.694,110.694,0.999,0.195006,1.240243,0.214273,0.923759,378.616,5.270778,5.270778
Prostate,82.101,0.7,0.999,0.7,82.101,57.47,99.918,157.388,0.365151,110.172,40.229,69.943,225.602,174.856,160.917,506.54,1.738596,8.813918,11.017,44.069,5.509,110.172,110.172,0.999,0.194086,1.645857,0.213262,0.919402,335.774,4.674367,4.674367
Liver,26.229,0.7,0.999,0.7,26.229,18.36,99.974,118.334,0.155156,82.834,12.852,69.982,156.381,174.954,64.261,388.316,5.445109,21.14978,33.134,24.85,8.283,82.834,82.834,0.999,0.583704,0.928091,0.320687,0.691262,239.215,3.330158,3.330158
Pancreatic,38.195,0.7,0.999,0.7,38.195,26.737,99.962,126.698,0.211025,88.689,18.716,69.973,233.525,209.92,112.294,508.46,3.738766,19.017395,53.213,26.607,17.738,88.689,88.689,0.999,0.937443,0.993692,0.686709,0.740123,322.213,4.485593,4.485593
Ovarian,10.276,0.7,0.999,0.7,10.276,7.193,99.99,107.183,0.06711,75.028,5.035,69.993,165.161,209.978,30.211,386.494,13.900926,53.731708,30.011,37.514,3.751,75.028,75.028,0.999,0.528698,1.401052,0.145233,0.62612,240.189,3.343718,3.343718
