country,iso3,M0_dir_acc,M0_cwon_rmse,M1_dir_acc,M1_cwon_rmse,M2_dir_acc,M2_cwon_rmse,M3_dir_acc,M3_cwon_rmse,M4_dir_acc,M4_cwon_rmse
Italy,ITA,100.0,0.00656433925652774,100.0,0.00654717846764791,100.0,0.00654717846764791,100.0,0.006645677295097555,100.0,0.006231727416586177
Japan,JPN,80.0,0.007667048673760686,80.0,0.007660248934993531,80.0,0.007660248934993531,80.0,0.007667048673760686,80.0,0.007660248934993531
Republic of Korea,KOR,100.0,0.015582764971429831,100.0,0.014408712287090661,100.0,0.011403653799917495,100.0,0.015582764971429831,100.0,0.009411744869516642
Latvia,LVA,40.0,0.002198394968625816,60.0,0.006816954101595955,60.0,0.007535712063110486,40.0,0.002198394968625816,40.0,0.002193010794353085
Lithuania,LTU,80.0,0.010449486398715194,80.0,0.006477861638461417,80.0,0.0063155366311138175,80.0,0.010449486398715194,80.0,0.01045070155063287
Luxembourg,LUX,100.0,0.02360698311899783,100.0,0.010052114090767086,100.0,0.007384475626166571,100.0,0.0236209500713649,100.0,0.014216252234051017
Mexico,MEX,80.0,0.004963817962447836,80.0,0.004948434014471765,80.0,0.004339918016445652,80.0,0.004963817962447836,80.0,0.0032044280858155015
Netherlands,NLD,100.0,0.010069793443686177,100.0,0.010047651907447242,100.0,0.010082868973680775,100.0,0.010186103586223072,100.0,0.006250067133666755
New Zealand,NZL,100.0,0.02160451420360279,100.0,0.02519688451019091,100.0,0.0260271244722913,100.0,0.021509581235944885,100.0,0.022499152189577907
Norway,NOR,100.0,0.0022523013663307587,100.0,0.001695474563889694,100.0,0.0069129368678316335,100.0,0.002229148139870281,100.0,0.0022057260902493586
Poland,POL,100.0,0.014672381050847706,100.0,0.014695782938359261,100.0,0.014695782938359261,100.0,0.014672381050847706,100.0,0.014695782938359261
Portugal,PRT,100.0,0.007062975251960147,100.0,0.007029590067913704,100.0,0.007029590067913704,100.0,0.007069654871597701,100.0,0.007036286463814646
Slovakia,SVK,100.0,0.012426502754115571,100.0,0.008711363254694019,100.0,0.008000486171412531,100.0,0.012426502754115571,100.0,0.012400143422677215
Slovenia,SVN,100.0,0.0016844447046341711,100.0,0.0017120028866156563,100.0,0.0023906913458408762,100.0,0.0016844447046341711,100.0,0.0016549577362851122
Spain,ESP,100.0,0.0007235824620310348,100.0,0.000727926003692954,100.0,0.000727926003692954,100.0,0.0007231873092188836,100.0,0.0007274502062763866
Sweden,SWE,100.0,0.002461320360371649,100.0,0.002656492459644837,100.0,0.007142065023494462,100.0,0.002461320360371649,100.0,0.0024694749109383627
Switzerland,CHE,100.0,0.012625157197397699,100.0,0.01263580351100989,100.0,0.01604426836918202,100.0,0.012625157197397699,100.0,0.014747415743991615
Turkey,TUR,100.0,0.01846662959518769,100.0,0.01841479486003384,100.0,0.01813785375102178,100.0,0.018442808415871717,100.0,0.018272258743904486
United Kingdom,GBR,100.0,0.005531213603229171,100.0,0.004012446218582886,100.0,0.0009958036234737192,100.0,0.005531213603229171,100.0,0.004012446218582886
United States,USA,100.0,0.010854372621355484,100.0,0.010850079177623742,100.0,0.010516044613104528,100.0,0.010854372621355484,100.0,0.010615797990233966
