group,lever,direction,lever_change_pct,margin_gain,normalised_margin_gain_per_10pct
Other Civilizations,p_A,increase,5.000000000000004,0.023633734386976357,0.04726746877395267
Other Civilizations,p_A,increase,10.000000000000009,0.04593693100821383,0.04593693100821379
Other Civilizations,p_A,increase,19.999999999999996,0.08697720298491163,0.04348860149245582
Other Civilizations,p_A,decrease,-5.000000000000004,-0.02508699529050773,-0.05017399058101542
Other Civilizations,p_A,decrease,-9.999999999999998,-0.051765547252898614,-0.05176554725289863
Other Civilizations,h_A,decrease,-5.000000000000004,-0.09427510587411803,-0.18855021174823589
Other Civilizations,h_A,decrease,-9.999999999999998,-0.19602645077489456,-0.1960264507748946
Other Civilizations,p_D,decrease,-5.000000000000004,-0.29029859915925726,-0.580597198318514
Other Civilizations,p_D,decrease,-9.999999999999998,-0.6116876475401227,-0.6116876475401228
Other Civilizations,alpha,increase,19.999999999999996,-1.6104435710459484,-0.8052217855229744
Other Civilizations,alpha,increase,10.000000000000009,-0.8254443399086995,-0.8254443399086987
Other Civilizations,alpha,increase,5.000000000000004,-0.4179704780659108,-0.8359409561318208
Other Civilizations,beta,decrease,-5.000000000000004,-0.5380938018072925,-1.076187603614584
Other Civilizations,beta,decrease,-9.999999999999998,-1.126613612421579,-1.1266136124215793
Other Civilizations,h_D,decrease,-5.000000000000004,-0.6288254520236194,-1.2576509040472377
Other Civilizations,h_D,decrease,-9.999999999999998,-1.2995360733737016,-1.2995360733737018
Other Civilizations,d,increase,19.999999999999996,-38.41329289572721,-19.20664644786361
Other Civilizations,d,increase,10.000000000000009,-20.855588960610703,-20.855588960610685
Other Civilizations,d,increase,5.000000000000004,-10.8997923287383,-21.799584657476583
Other Western,d,decrease,-9.999999999999998,13.838388691558478,13.838388691558482
Other Western,d,decrease,-5.000000000000004,6.573700773332334,13.147401546664655
Other Western,h_D,increase,5.000000000000004,0.34167008521313846,0.6833401704262764
Other Western,h_D,increase,10.000000000000009,0.6653781736284543,0.6653781736284538
Other Western,beta,increase,5.000000000000004,0.32102719924013456,0.6420543984802686
Other Western,h_D,increase,19.999999999999996,1.2643222616525946,0.6321611308262974
Other Western,beta,increase,10.000000000000009,0.6157117910371284,0.6157117910371278
Other Western,beta,increase,19.999999999999996,1.1375994202353894,0.5687997101176948
Other Western,alpha,decrease,-9.999999999999998,0.44727726759268194,0.44727726759268205
Other Western,alpha,decrease,-5.000000000000004,0.21969897518897596,0.43939795037795154
Other Western,p_D,increase,5.000000000000004,0.1992910157662351,0.39858203153246985
Other Western,p_D,increase,10.000000000000009,0.3811186212978015,0.38111862129780116
Other Western,p_D,increase,19.999999999999996,0.7008255274969173,0.3504127637484587
Other Western,h_A,increase,5.000000000000004,0.06882051294063274,0.13764102588126537
Other Western,h_A,increase,10.000000000000009,0.13258491226454794,0.13258491226454783
Other Western,h_A,increase,19.999999999999996,0.24702210519801326,0.12351105259900666
Other Western,p_A,increase,5.000000000000004,0.025464314475769356,0.050928628951538664
Other Western,p_A,increase,10.000000000000009,0.04955209227698276,0.04955209227698272
Other Western,p_A,increase,19.999999999999996,0.09402161615911098,0.0470108080795555
Other Western,p_A,decrease,-5.000000000000004,-0.026962316830875466,-0.05392463366175088
Other Western,p_A,decrease,-9.999999999999998,-0.055558828668026194,-0.05555882866802621
Other Western,h_A,decrease,-5.000000000000004,-0.07450304559824872,-0.1490060911964973
Other Western,h_A,decrease,-9.999999999999998,-0.15542302226269555,-0.15542302226269558
Other Western,alpha,increase,19.999999999999996,-0.8076508290133262,-0.4038254145066632
Other Western,alpha,increase,10.000000000000009,-0.4173407188834659,-0.4173407188834655
Other Western,alpha,increase,5.000000000000004,-0.21222155064204173,-0.4244431012840831
Other Western,p_D,decrease,-5.000000000000004,-0.21939721407889579,-0.4387944281577912
Other Western,p_D,decrease,-9.999999999999998,-0.46210500009435407,-0.4621050000943542
Other Western,beta,decrease,-5.000000000000004,-0.350888603555191,-0.7017772071103814
Other Western,h_D,decrease,-5.000000000000004,-0.36118153505731243,-0.7223630701146242
Other Western,beta,decrease,-9.999999999999998,-0.7358011597131906,-0.7358011597131907
Other Western,h_D,decrease,-9.999999999999998,-0.7436090692857675,-0.7436090692857676
Other Western,d,increase,19.999999999999996,-21.131871550261664,-10.565935775130834
Other Western,d,increase,10.000000000000009,-11.455616558657198,-11.455616558657187
Other Western,d,increase,5.000000000000004,-5.982549060302617,-11.965098120605223
Sinic,d,decrease,-9.999999999999998,143.604076508278,143.60407650827804
Sinic,d,decrease,-5.000000000000004,68.02877466157906,136.057549323158
Sinic,beta,increase,5.000000000000004,1.0138942382168352,2.0277884764336687
Sinic,beta,increase,10.000000000000009,1.9405919241812626,1.9405919241812608
Sinic,beta,increase,19.999999999999996,3.574287375850645,1.7871436879253229
Sinic,h_D,increase,5.000000000000004,0.8834758999576025,1.7669517999152033
