Combo,Size,S_n,T_n,S_pct,T_pct,P_uni,aOR,CI_lo,CI_hi,P_adj,Model
A+B+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+C+D,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+C+E,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+C+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+D+E,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+D+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+E+F,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+C+D,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B+C+E,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
B+C+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
B+D+E,3,90,12,3.162333099086437,3.508771929824561,0.7308702721632923,1.2315767361517422,0.6436603924421522,2.356493074360632,0.5292419971900068,full
B+D+F,3,503,58,17.673928320449754,16.95906432748538,0.7428958048275613,0.9258260227145134,0.6756009813110869,1.268727914918007,0.6316513256380629,full
B+E+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9233779866569564,0.6738447192933603,1.2653165956940007,0.6199339358063756,full
C+D+E,3,461,56,16.198172874209416,16.374269005847953,0.9334737283012471,0.9712907571370767,0.7052233456060204,1.337740363783927,0.8584462704474355,full
C+D+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
C+E+F,3,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
D+E+F,3,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9233779866569564,0.6738447192933603,1.2653165956940007,0.6199339358063756,full
A+B+C+D,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+C+E,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+C+F,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+D+E,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+B+D+F,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
A+B+E+F,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+C+D+E,4,505,58,17.744202389318342,16.95906432748538,0.719024163218278,0.921752529647168,0.672695493893554,1.2630197966591357,0.6121592181815649,full
A+C+D+F,4,504,58,17.709065354884046,16.95906432748538,0.7309192162655435,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594,full
